SYMBOL,MARKET_CAP,INDUSTRY,SECTOR,MACRO,FNO
PRECWIRE,2158.0,Industrial Products,Capital Goods,Industrials,0.0
ASTEC,2157.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
SANGAMIND,2156.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
XPROINDIA,2148.0,Industrial Products,Capital Goods,Industrials,0.0
JINDRILL,2147.0,Oil,Oil Gas & Consumable Fuels,Energy,0.0
GANECOS,2144.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
RUPA,2138.0,Textiles & Apparels,Textiles,Consumer Discretionary,0.0
GREENPOWER,2138.0,Power,Power,Utilities,0.0
MTNL,2120.0,Telecom - Services,Telecommunication,Telecommunication,0.0
KSL,2119.0,Industrial Products,Capital Goods,Industrials,0.0
HIL,2119.0,Consumer Durables,Consumer Durables,Consumer Discretionary,0.0
ATFL,2118.0,Agricultural Food & other Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
ACCELYA,2116.0,IT - Software,Information Technology,Information Technology,0.0
SASKEN,2113.0,IT - Services,Information Technology,Information Technology,0.0
BHARATWIRE,2099.0,Industrial Products,Capital Goods,Industrials,0.0
INDOSTAR,2083.0,Finance,Financial Services,Financial Services,0.0
SHRIRAMPPS,2081.0,Realty,Realty,Consumer Discretionary,0.0
VIDHIING,2080.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
SALASAR,2079.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
KIRIINDUS,2068.0,Chemicals & Petrochemicals,Chemicals,Commodities,0.0
TNPL,2066.0,Paper Forest & Jute Products,Forest Materials,Commodities,0.0
ADORWELD,2060.0,Industrial Products,Capital Goods,Industrials,0.0
TCPLPACK,2057.0,Industrial Products,Capital Goods,Industrials,0.0
JAGRAN,2044.0,Media,Media Entertainment & Publication,Consumer Discretionary,0.0
RIIL,2038.0,Transport Services,Services,Services,0.0
MANGLMCEM,2036.0,Cement & Cement Products,Construction Materials,Commodities,0.0
TTKHLTCARE,2035.0,Diversified,Diversified,Diversified,0.0
EXPLEOSOL,2014.0,IT - Services,Information Technology,Information Technology,0.0
INSECTICID,2013.0,Fertilizers & Agrochemicals,Chemicals,Commodities,0.0
SHK,2010.0,Personal Products,Fast Moving Consumer Goods,Fast Moving Consumer Goods,0.0
BFINVEST,2009.0,Finance,Financial Services,Financial Services,0.0
PANAMAPET,2008.0,Petroleum Products,Oil Gas & Consumable Fuels,Energy,0.0
FMGOETZE,2008.0,Auto Components,Automobile and Auto Components,Consumer Discretionary,0.0
VAKRANGEE,2008.0,IT - Services,Information Technology,Information Technology,0.0
AEROFLEX,2006.0,Industrial Products,Capital Goods,Industrials,0.0
THEJO,1999.0,Industrial Manufacturing,Capital Goods,Industrials,0.0
